# object name: SOLAR_PANEL-Z
-3.141593 -1.570796 0.000000
-2.879793 -1.570796 0.000000
-2.617994 -1.570796 0.000000
-2.356194 -1.570796 0.000000
-2.094395 -1.570796 0.000000
-1.832596 -1.570796 0.000000
-1.570796 -1.570796 0.000000
-1.308997 -1.570796 0.000000
-1.047198 -1.570796 0.000000
-0.785398 -1.570796 0.000000
-0.523599 -1.570796 0.000000
-0.261799 -1.570796 0.000000
0.000000 -1.570796 0.000000
0.261799 -1.570796 0.000000
0.523599 -1.570796 0.000000
0.785398 -1.570796 0.000000
1.047198 -1.570796 0.000000
1.308997 -1.570796 0.000000
1.570796 -1.570796 0.000000
1.832596 -1.570796 0.000000
2.094395 -1.570796 0.000000
2.356194 -1.570796 0.000000
2.617994 -1.570796 0.000000
2.879793 -1.570796 0.000000
3.141593 -1.570796 0.000000

-3.141593 -1.308997 0.200000
-2.879793 -1.308997 0.090909
-2.617994 -1.308997 0.097561
-2.356194 -1.308997 0.068182
-2.094395 -1.308997 0.060000
-1.832596 -1.308997 0.000000
-1.570796 -1.308997 0.000000
-1.308997 -1.308997 0.000000
-1.047198 -1.308997 0.060000
-0.785398 -1.308997 0.068182
-0.523599 -1.308997 0.097561
-0.261799 -1.308997 0.090909
0.000000 -1.308997 0.200000
0.261799 -1.308997 0.393939
0.523599 -1.308997 0.536585
0.785398 -1.308997 0.613636
1.047198 -1.308997 0.640000
1.308997 -1.308997 0.653846
1.570796 -1.308997 0.750000
1.832596 -1.308997 0.653846
2.094395 -1.308997 0.640000
2.356194 -1.308997 0.613636
2.617994 -1.308997 0.536585
2.879793 -1.308997 0.393939
3.141593 -1.308997 0.200000

-3.141593 -1.047198 0.352941
-2.879793 -1.047198 0.170732
-2.617994 -1.047198 0.113208
-2.356194 -1.047198 0.093750
-2.094395 -1.047198 0.068493
-1.832596 -1.047198 0.000000
-1.570796 -1.047198 0.000000
-1.308997 -1.047198 0.000000
-1.047198 -1.047198 0.068493
-0.785398 -1.047198 0.093750
-0.523599 -1.047198 0.113208
