# object name: SOLAR_PANEL+Y
-0.261799 -1.047198 0.083871
0.000000 -1.047198 0.000000
0.261799 -1.047198 0.083871
0.523599 -1.047198 0.075949
0.785398 -1.047198 0.082803
1.047198 -1.047198 0.088608
1.308997 -1.047198 0.090323
1.570796 -1.047198 0.000000
1.832596 -1.047198 0.090323
2.094395 -1.047198 0.088608
2.356194 -1.047198 0.082803
2.617994 -1.047198 0.075949
2.879793 -1.047198 0.083871
3.141593 -1.047198 0.000000

-3.141593 -0.785398 0.000000
-2.879793 -0.785398 0.133333
-2.617994 -0.785398 0.170213
-2.356194 -0.785398 0.153285
-2.094395 -0.785398 0.163121
-1.832596 -0.785398 0.133333
-1.570796 -0.785398 0.000000
-1.308997 -0.785398 0.133333
-1.047198 -0.785398 0.163121
-0.785398 -0.785398 0.153285
-0.523599 -0.785398 0.170213
-0.261799 -0.785398 0.133333
0.000000 -0.785398 0.000000
0.261799 -0.785398 0.133333
0.523599 -0.785398 0.170213
0.785398 -0.785398 0.153285
1.047198 -0.785398 0.163121
1.308997 -0.785398 0.133333
1.570796 -0.785398 0.000000
1.832596 -0.785398 0.133333
2.094395 -0.785398 0.163121
2.356194 -0.785398 0.153285
2.617994 -0.785398 0.170213
2.879793 -0.785398 0.133333
3.141593 -0.785398 0.000000

-3.141593 -0.523599 0.142857
-2.879793 -0.523599 0.205607
-2.617994 -0.523599 0.242991
-2.356194 -0.523599 0.252336
-2.094395 -0.523599 0.242991
-1.832596 -0.523599 0.177570
-1.570796 -0.523599 0.000000
-1.308997 -0.523599 0.177570
-1.047198 -0.523599 0.242991
-0.785398 -0.523599 0.252336
-0.523599 -0.523599 0.242991
-0.261799 -0.523599 0.205607
0.000000 -0.523599 0.142857
0.261799 -0.523599 0.205607
0.523599 -0.523599 0.242991
0.785398 -0.523599 0.252336
1.047198 -0.523599 0.242991
1.308997 -0.523599 0.177570
1.570796 -0.523599 0.000000
1.832596 -0.523599 0.177570
2.094395 -0.523599 0.242991
2.356194 -0.523599 0.252336
2.617994 -0.523599 0.242991
2.879793 -0.523599 0.205607
3.141593 -0.523599 0.142857

-3.141593 -0.261799 0.250000
-2.879793 -0.261799 0.327586
-2.617994 -0.261799 0.378378
-2.356194 -0.261799 0.375000
-2.094395 -0.261799 0.378378
-1.832596 -0.261799 0.327586
-1.570796 -0.261799 0.000000
-1.308997 -0.261799 0.327586
-1.047198 -0.261799 0.378378
-0.785398 -0.261799 0.375000
-0.523599 -0.261799 0.378378
-0.261799 -0.261799 0.327586
0.000000 -0.261799 0.250000
0.261799 -0.261799 0.327586
0.523599 -0.261799 0.378378
0.785398 -0.261799 0.375000
1.047198 -0.261799 0.378378
1.308997 -0.261799 0.327586
1.570796 -0.261799 0.000000
1.832596 -0.261799 0.327586
2.094395 -0.261799 0.378378
2.356194 -0.261799 0.375000
2.617994 -0.261799 0.378378
2.879793 -0.261799 0.327586
3.141593 -0.261799 0.250000

-3.141593 0.000000 1.000000
-2.879793 0.000000 0.933333
-2.617994 0.000000 0.882353
-2.356194 0.000000 1.000000
-2.094395 0.000000 0.882353
-1.832596 0.000000 0.933333
-1.570796 0.000000 1.000000
-1.308997 0.000000 0.933333
-1.047198 0.000000 0.882353
-0.785398 0.000000 1.000000
-0.523599 0.000000 0.882353
-0.261799 0.000000 0.933333
0.000000 0.000000 1.000000
0.261799 0.000000 0.933333
0.523599 0.000000 0.882353
0.785398 0.000000 1.000000
1.047198 0.000000 0.882353
1.308997 0.000000 0.933333
1.570796 0.000000 1.000000
1.832596 0.000000 0.933333
2.094395 0.000000 0.882353
2.356194 0.000000 1.000000
2.617994 0.000000 0.882353
2.879793 0.000000 0.933333
3.141593 0.000000 1.000000

-3.141593 0.261799 1.000000
-2.879793 0.261799 0.965517
-2.617994 0.261799 0.986486
-2.356194 0.261799 1.000000
-2.094395 0.261799 0.972973
-1.832596 0.261799 1.000000
-1.570796 0.261799 1.000000
-1.308997 0.261799 1.000000
-1.047198 0.261799 0.972973
-0.785398 0.261799 1.000000
-0.523599 0.261799 0.986486
-0.261799 0.261799 0.965517
0.000000 0.261799 1.000000
0.261799 0.261799 0.965517
0.523599 0.261799 0.986486
0.785398 0.261799 1.000000
1.047198 0.261799 0.972973
1.308997 0.261799 1.000000
1.570796 0.261799 1.000000
1.832596 0.261799 1.000000
2.094395 0.261799 0.972973
2.356194 0.261799 1.000000
2.617994 0.261799 0.986486
2.879793 0.261799 0.965517
3.141593 0.261799 1.000000

-3.141593 0.523599 1.000000
-2.879793 0.523599 0.981308
-2.617994 0.523599 0.981308
-2.356194 0.523599 0.981308
-2.094395 0.523599 0.990654
-1.832596 0.523599 1.000000
-1.570796 0.523599 1.000000
-1.308997 0.523599 1.000000
-1.047198 0.523599 0.990654
-0.785398 0.523599 0.981308
-0.523599 0.523599 0.981308
-0.261799 0.523599 0.981308
0.000000 0.523599 1.000000
0.261799 0.523599 0.981308
0.523599 0.523599 0.981308
0.785398 0.523599 0.981308
1.047198 0.523599 0.990654
1.308997 0.523599 1.000000
1.570796 0.523599 1.000000
1.832596 0.523599 1.000000
2.094395 0.523599 0.990654
2.356194 0.523599 0.981308
2.617994 0.523599 0.981308
2.879793 0.523599 0.981308
3.141593 0.523599 1.000000

-3.141593 0.785398 1.000000
-2.879793 0.785398 0.992593
-2.617994 0.785398 0.985816
-2.356194 0.785398 0.985401
-2.094395 0.785398 0.985816
-1.832596 0.785398 0.985185
-1.570796 0.785398 1.000000
-1.308997 0.785398 0.985185
-1.047198 0.785398 0.985816
-0.785398 0.785398 0.985401
-0.523599 0.785398 0.985816
-0.261799 0.785398 0.992593
0.000000 0.785398 1.000000
0.261799 0.785398 0.992593
0.523599 0.785398 0.985816
0.785398 0.785398 0.985401
1.047198 0.785398 0.985816
1.308997 0.785398 0.985185
1.570796 0.785398 1.000000
1.832596 0.785398 0.985185
2.094395 0.785398 0.985816
2.356194 0.785398 0.985401
2.617994 0.785398 0.985816
2.879793 0.785398 0.992593
3.141593 0.785398 1.000000

-3.141593 1.047198 1.000000
-2.879793 1.047198 1.000000
-2.617994 1.047198 0.993671
-2.356194 1.047198 0.993631
-2.094395 1.047198 0.993671
-1.832596 1.047198 1.000000
-1.570796 1.047198 1.000000
-1.308997 1.047198 1.000000
-1.047198 1.047198 0.993671
-0.785398 1.047198 0.993631
-0.523599 1.047198 0.993671
-0.261799 1.047198 1.000000
0.000000 1.047198 1.000000
0.261799 1.047198 1.000000
0.523599 1.047198 0.993671
0.785398 1.047198 0.993631
1.047198 1.047198 0.993671
1.308997 1.047198 1.000000
1.570796 1.047198 1.000000
1.832596 1.047198 1.000000
2.094395 1.047198 0.993671
