#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.3.0 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.ANTENNA.ef1decee-a1e9-480f-b2d1-264eddd0b744_Trajectory.txt
# RunID         : PySara
# ObjectID      : ef1decee-a1e9-480f-b2d1-264eddd0b744
# ObjectName    : ANTENNA
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]  DynPressure [Pa]   Load Factor [g]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1398.300          87.940    -48.020    -68.882            7.462        10870.901      0.734      0.000      0.000    0.12981   27.22066           -0.92730      194.92842         4.914e-06         1.368e+02         9.322e-01 
  1399.300          87.819    -48.084    -68.907            7.452        10878.262      0.729      0.000      0.000    0.12704   27.18818           -0.93593      194.94103         5.021e-06         1.395e+02         9.440e-01 
  1400.300          87.697    -48.148    -68.933            7.443        10885.615      0.724      0.000      0.000    0.12432   27.15525           -0.94472      194.95367         5.131e-06         1.422e+02         9.560e-01 
  1401.300          87.574    -48.211    -68.958            7.434        10892.959      0.720      0.000      0.000    0.12163   27.12187           -0.95370      194.96633         5.245e-06         1.450e+02         9.682e-01 
  1402.300          87.449    -48.275    -68.984            7.425        10900.293      0.715      0.000      0.000    0.11898   27.08802           -0.96285      194.97903         5.362e-06         1.478e+02         9.806e-01 
  1403.300          87.324    -48.339    -69.009            7.415        10907.618      0.710      0.000      0.000    0.11637   27.05372           -0.97218      194.99175         5.482e-06         1.508e+02         9.933e-01 
  1404.300          87.198    -48.402    -69.035            7.405        10914.934      0.705      0.000      0.000    0.11379   27.01894           -0.98169      195.00449         5.607e-06         1.538e+02         1.006e+00 
  1405.300          87.070    -48.465    -69.060            7.396        10922.240      0.700      0.000      0.000    0.11125   26.98368           -0.99139      195.01727         5.735e-06         1.569e+02         1.019e+00 
  1406.300          86.942    -48.529    -69.086            7.386        10929.536      0.695      0.000      0.000    0.10874   26.94794           -1.00128      195.03007         5.867e-06         1.601e+02         1.033e+00 
  1407.300          86.812    -48.592    -69.111            7.376        10936.823      0.690      0.000      0.000    0.10627   26.91170           -1.01135      195.04289         6.004e-06         1.634e+02         1.047e+00 
  1408.300          86.682    -48.655    -69.137            7.366        10944.100      0.685      0.000      0.000    0.10383   26.87496           -1.02163      195.05575         6.145e-06         1.667e+02         1.061e+00 
  1409.300          86.550    -48.718    -69.163            7.355        10951.366      0.680      0.000      0.000    0.10143   26.83772           -1.03209      195.06862         6.291e-06         1.702e+02         1.075e+00 
  1410.300          86.417    -48.781    -69.188            7.345        10958.623      0.675      0.000      0.000    0.09906   26.79995           -1.04276      195.08153         6.441e-06         1.738e+02         1.089e+00 
  1411.300          86.282    -48.844    -69.214            7.334        10965.869      0.670      0.000      0.000    0.09673   26.76167           -1.05363      195.09445         6.597e-06         1.775e+02         1.104e+00 
  1412.300          86.147    -48.907    -69.240            7.323        10973.104      0.665      0.000      0.000    0.09442   26.72285           -1.06470      195.10740         6.758e-06         1.813e+02         1.120e+00 
  1413.300          86.010    -48.969    -69.265            7.312        10980.329      0.661      0.000      0.000    0.09215   26.68349           -1.07599      195.12038         6.925e-06         1.852e+02         1.135e+00 
  1414.300          85.872    -49.032    -69.291            7.301        10987.543      0.656      0.000      0.000    0.09004   26.62796           -1.08748      195.13338         7.088e-06         1.890e+02         1.150e+00 
  1415.300          85.733    -49.094    -69.317            7.290        10994.747      0.651      0.000      0.000    0.08797   26.56801           -1.09919      195.14640         7.254e-06         1.929e+02         1.165e+00 
  1416.300          85.592    -49.157    -69.343            7.279        11001.939      0.647      0.000      0.000    0.08593   26.50744           -1.11112      195.15944         7.426e-06         1.968e+02         1.181e+00 
  1417.300          85.451    -49.219    -69.368            7.267        11009.120      0.642      0.000      0.000    0.08393   26.44625           -1.12327      195.17250         7.604e-06         2.009e+02         1.197e+00 
