# object name: SOLAR PANEL+X
-3.141593 -1.570796 1.000000
-2.879793 -1.570796 1.000000
-2.617994 -1.570796 1.000000
-2.356194 -1.570796 1.000000
-2.094395 -1.570796 1.000000
-1.832596 -1.570796 1.000000
-1.570796 -1.570796 1.000000
-1.308997 -1.570796 1.000000
-1.047198 -1.570796 1.000000
-0.785398 -1.570796 1.000000
-0.523599 -1.570796 1.000000
-0.261799 -1.570796 1.000000
0.000000 -1.570796 1.000000
0.261799 -1.570796 1.000000
0.523599 -1.570796 1.000000
0.785398 -1.570796 1.000000
1.047198 -1.570796 1.000000
1.308997 -1.570796 1.000000
1.570796 -1.570796 1.000000
1.832596 -1.570796 1.000000
2.094395 -1.570796 1.000000
2.356194 -1.570796 1.000000
2.617994 -1.570796 1.000000
2.879793 -1.570796 1.000000
3.141593 -1.570796 1.000000

-3.141593 -1.308997 0.250000
-2.879793 -1.308997 0.206897
-2.617994 -1.308997 0.425926
-2.356194 -1.308997 0.266667
-2.094395 -1.308997 0.465116
-1.832596 -1.308997 0.514286
-1.570796 -1.308997 0.733333
-1.308997 -1.308997 0.885714
-1.047198 -1.308997 0.813953
-0.785398 -1.308997 0.955556
-0.523599 -1.308997 0.851852
-0.261799 -1.308997 1.000000
0.000000 -1.308997 1.000000
0.261799 -1.308997 1.000000
0.523599 -1.308997 0.851852
0.785398 -1.308997 0.955556
1.047198 -1.308997 0.813953
1.308997 -1.308997 0.885714
1.570796 -1.308997 0.733333
1.832596 -1.308997 0.514286
2.094395 -1.308997 0.465116
2.356194 -1.308997 0.266667
2.617994 -1.308997 0.425926
2.879793 -1.308997 0.206897
3.141593 -1.308997 0.250000

-3.141593 -1.047198 0.000000
-2.879793 -1.047198 0.120879
-2.617994 -1.047198 0.229885
-2.356194 -1.047198 0.289474
-2.094395 -1.047198 0.343750
-1.832596 -1.047198 0.466667
-1.570796 -1.047198 0.764706
-1.308997 -1.047198 0.911111
-1.047198 -1.047198 0.953125
-0.785398 -1.047198 0.973684
-0.523599 -1.047198 0.965517
-0.261799 -1.047198 1.000000
0.000000 -1.047198 1.000000
0.261799 -1.047198 1.000000
0.523599 -1.047198 0.965517
0.785398 -1.047198 0.973684
1.047198 -1.047198 0.953125
1.308997 -1.047198 0.911111
1.570796 -1.047198 0.764706
1.832596 -1.047198 0.466667
2.094395 -1.047198 0.343750
2.356194 -1.047198 0.289474
2.617994 -1.047198 0.229885
2.879793 -1.047198 0.120879
3.141593 -1.047198 0.000000

-3.141593 -0.785398 0.000000
-2.879793 -0.785398 0.121951
-2.617994 -0.785398 0.146552
-2.356194 -0.785398 0.239583
-2.094395 -0.785398 0.272727
-1.832596 -0.785398 0.320755
-1.570796 -0.785398 1.000000
-1.308997 -0.785398 1.000000
-1.047198 -0.785398 1.000000
-0.785398 -0.785398 1.000000
-0.523599 -0.785398 1.000000
-0.261799 -0.785398 1.000000
0.000000 -0.785398 1.000000
0.261799 -0.785398 1.000000
0.523599 -0.785398 1.000000
0.785398 -0.785398 1.000000
1.047198 -0.785398 1.000000
1.308997 -0.785398 1.000000
1.570796 -0.785398 1.000000
1.832596 -0.785398 0.320755
2.094395 -0.785398 0.272727
2.356194 -0.785398 0.239583
2.617994 -0.785398 0.146552
2.879793 -0.785398 0.121951
3.141593 -0.785398 0.000000

