#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.3.0 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.Structure.a8639e99-0008-45a4-b2da-5ab048880d15_Trajectory.txt
# RunID         : PySara
# ObjectID      : a8639e99-0008-45a4-b2da-5ab048880d15
# ObjectName    : Structure
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]  DynPressure [Pa]   Load Factor [g]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1319.750          95.423    -42.846    -66.983            7.761        10276.173      2.788      0.000      0.000    0.36102   28.05611           -0.56362      194.04752         1.288e-06         3.880e+01         1.297e-01 
  1320.750          95.347    -42.912    -67.006            7.760        10283.832      2.781      0.000      0.000    0.35610   28.05872           -0.56655      194.05724         1.306e-06         3.933e+01         1.311e-01 
  1321.750          95.270    -42.979    -67.029            7.759        10291.491      2.773      0.000      0.000    0.35122   28.06122           -0.56951      194.06700         1.325e-06         3.987e+01         1.325e-01 
  1322.750          95.192    -43.046    -67.051            7.758        10299.149      2.766      0.000      0.000    0.34639   28.06361           -0.57248      194.07679         1.343e-06         4.042e+01         1.340e-01 
  1323.750          95.115    -43.113    -67.074            7.756        10306.805      2.758      0.000      0.000    0.34159   28.06584           -0.57549      194.08662         1.362e-06         4.098e+01         1.355e-01 
  1324.750          95.037    -43.179    -67.097            7.755        10314.460      2.751      0.000      0.000    0.33684   28.06794           -0.57851      194.09649         1.382e-06         4.155e+01         1.370e-01 
  1325.750          94.958    -43.246    -67.120            7.754        10322.114      2.743      0.000      0.000    0.33213   28.06993           -0.58156      194.10640         1.401e-06         4.213e+01         1.385e-01 
  1326.750          94.879    -43.313    -67.143            7.753        10329.766      2.735      0.000      0.000    0.32745   28.07179           -0.58463      194.11634         1.422e-06         4.273e+01         1.401e-01 
  1327.750          94.800    -43.379    -67.166            7.751        10337.418      2.727      0.000      0.000    0.32282   28.07351           -0.58773      194.12632         1.442e-06         4.333e+01         1.417e-01 
  1328.750          94.720    -43.446    -67.189            7.750        10345.068      2.719      0.000      0.000    0.31824   28.07508           -0.59085      194.13634         1.463e-06         4.395e+01         1.432e-01 
  1329.750          94.640    -43.513    -67.212            7.749        10352.717      2.711      0.000      0.000    0.31369   28.07651           -0.59400      194.14640         1.485e-06         4.457e+01         1.449e-01 
  1330.750          94.559    -43.579    -67.235            7.747        10360.364      2.703      0.000      0.000    0.30919   28.07782           -0.59717      194.15649         1.506e-06         4.521e+01         1.465e-01 
  1331.750          94.478    -43.646    -67.258            7.746        10368.010      2.694      0.000      0.000    0.30474   28.07898           -0.60037      194.16663         1.529e-06         4.586e+01         1.481e-01 
  1332.750          94.397    -43.713    -67.281            7.745        10375.655      2.686      0.000      0.000    0.30032   28.08000           -0.60360      194.17680         1.551e-06         4.653e+01         1.498e-01 
  1333.750          94.315    -43.779    -67.305            7.743        10383.299      2.677      0.000      0.000    0.29595   28.08085           -0.60685      194.18701         1.574e-06         4.720e+01         1.515e-01 
  1334.750          94.233    -43.846    -67.328            7.742        10390.941      2.669      0.000      0.000    0.29163   28.08156           -0.61013      194.19726         1.598e-06         4.789e+01         1.532e-01 
  1335.750          94.150    -43.912    -67.351            7.741        10398.581      2.660      0.000      0.000    0.28734   28.08212           -0.61343      194.20755         1.622e-06         4.860e+01         1.550e-01 
  1336.750          94.067    -43.979    -67.374            7.739        10406.221      2.651      0.000      0.000    0.28310   28.08254           -0.61676      194.21788         1.647e-06         4.931e+01         1.567e-01 
  1337.750          93.984    -44.045    -67.398            7.738        10413.859      2.642      0.000      0.000    0.27889   28.08280           -0.62012      194.22824         1.672e-06         5.004e+01         1.585e-01 
  1338.750          93.900    -44.112    -67.421            7.736        10421.495      2.633      0.000      0.000    0.27473   28.08289           -0.62350      194.23865         1.697e-06         5.079e+01         1.603e-01 
