# object name: Structure
-3.141593 -1.570796 0.000000
-2.879793 -1.570796 0.000000
-2.617994 -1.570796 0.000000
-2.356194 -1.570796 0.000000
-2.094395 -1.570796 0.000000
-1.832596 -1.570796 0.000000
-1.570796 -1.570796 0.000000
-1.308997 -1.570796 0.000000
-1.047198 -1.570796 0.000000
-0.785398 -1.570796 0.000000
-0.523599 -1.570796 0.000000
-0.261799 -1.570796 0.000000
0.000000 -1.570796 0.000000
0.261799 -1.570796 0.000000
0.523599 -1.570796 0.000000
0.785398 -1.570796 0.000000
1.047198 -1.570796 0.000000
1.308997 -1.570796 0.000000
1.570796 -1.570796 0.000000
1.832596 -1.570796 0.000000
2.094395 -1.570796 0.000000
2.356194 -1.570796 0.000000
2.617994 -1.570796 0.000000
2.879793 -1.570796 0.000000
3.141593 -1.570796 0.000000

-3.141593 -1.308997 0.200000
-2.879793 -1.308997 0.174194
-2.617994 -1.308997 0.143791
-2.356194 -1.308997 0.135484
-2.094395 -1.308997 0.081761
-1.832596 -1.308997 0.045752
-1.570796 -1.308997 0.000000
-1.308997 -1.308997 0.045752
-1.047198 -1.308997 0.081761
-0.785398 -1.308997 0.135484
-0.523599 -1.308997 0.143791
-0.261799 -1.308997 0.174194
0.000000 -1.308997 0.200000
0.261799 -1.308997 0.174194
0.523599 -1.308997 0.143791
0.785398 -1.308997 0.135484
1.047198 -1.308997 0.081761
1.308997 -1.308997 0.045752
1.570796 -1.308997 0.000000
1.832596 -1.308997 0.045752
2.094395 -1.308997 0.081761
2.356194 -1.308997 0.135484
2.617994 -1.308997 0.143791
2.879793 -1.308997 0.174194
3.141593 -1.308997 0.200000

-3.141593 -1.047198 0.352941
-2.879793 -1.047198 0.298137
-2.617994 -1.047198 0.245614
-2.356194 -1.047198 0.195266
-2.094395 -1.047198 0.138728
-1.832596 -1.047198 0.082840
-1.570796 -1.047198 0.000000
-1.308997 -1.047198 0.082840
-1.047198 -1.047198 0.138728
-0.785398 -1.047198 0.195266
-0.523599 -1.047198 0.245614
-0.261799 -1.047198 0.298137
