#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.3.0 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.ADCS.e47378b3-1487-48d7-99ad-2143d6155f1d_Trajectory.txt
# RunID         : PySara
# ObjectID      : e47378b3-1487-48d7-99ad-2143d6155f1d
# ObjectName    : ADCS
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]  DynPressure [Pa]   Load Factor [g]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1399.300          87.827    -48.093    -68.911            7.534        10879.351      1.011      0.000      0.000    0.12588   27.48351           -0.91559      194.94385         5.014e-06         1.423e+02         6.063e-01 
  1400.300          87.706    -48.158    -68.937            7.528        10886.786      1.004      0.000      0.000    0.12321   27.46272           -0.92284      194.95671         5.123e-06         1.452e+02         6.144e-01 
  1401.300          87.585    -48.222    -68.963            7.522        10894.215      0.998      0.000      0.000    0.12058   27.44161           -0.93020      194.96961         5.235e-06         1.481e+02         6.227e-01 
  1402.300          87.462    -48.287    -68.988            7.516        10901.638      0.991      0.000      0.000    0.11799   27.42019           -0.93768      194.98255         5.350e-06         1.511e+02         6.311e-01 
  1403.300          87.339    -48.351    -69.014            7.510        10909.055      0.984      0.000      0.000    0.11543   27.39844           -0.94527      194.99552         5.468e-06         1.542e+02         6.398e-01 
  1404.300          87.214    -48.415    -69.040            7.504        10916.466      0.978      0.000      0.000    0.11291   27.37637           -0.95297      195.00853         5.591e-06         1.574e+02         6.485e-01 
  1405.300          87.089    -48.480    -69.066            7.498        10923.871      0.971      0.000      0.000    0.11043   27.35397           -0.96080      195.02158         5.716e-06         1.607e+02         6.575e-01 
  1406.300          86.963    -48.544    -69.092            7.491        10931.270      0.964      0.000      0.000    0.10799   27.33123           -0.96874      195.03467         5.846e-06         1.641e+02         6.666e-01 
  1407.300          86.836    -48.608    -69.118            7.485        10938.663      0.957      0.000      0.000    0.10558   27.30815           -0.97680      195.04779         5.979e-06         1.675e+02         6.759e-01 
  1408.300          86.708    -48.672    -69.144            7.478        10946.049      0.951      0.000      0.000    0.10321   27.28473           -0.98499      195.06095         6.117e-06         1.711e+02         6.854e-01 
  1409.300          86.579    -48.736    -69.170            7.472        10953.429      0.944      0.000      0.000    0.10087   27.26096           -0.99330      195.07415         6.259e-06         1.747e+02         6.952e-01 
  1410.300          86.449    -48.800    -69.196            7.465        10960.802      0.937      0.000      0.000    0.09857   27.23684           -1.00174      195.08738         6.405e-06         1.785e+02         7.051e-01 
  1411.300          86.318    -48.864    -69.222            7.458        10968.169      0.931      0.000      0.000    0.09630   27.21236           -1.01030      195.10066         6.556e-06         1.824e+02         7.152e-01 
  1412.300          86.186    -48.928    -69.248            7.451        10975.529      0.924      0.000      0.000    0.09407   27.18752           -1.01900      195.11396         6.712e-06         1.864e+02         7.256e-01 
  1413.300          86.053    -48.992    -69.275            7.444        10982.882      0.917      0.000      0.000    0.09186   27.16232           -1.02783      195.12731         6.873e-06         1.905e+02         7.362e-01 
  1414.300          85.919    -49.055    -69.301            7.437        10990.228      0.911      0.000      0.000    0.08977   27.12745           -1.03679      195.14069         7.034e-06         1.946e+02         7.467e-01 
  1415.300          85.784    -49.119    -69.327            7.430        10997.567      0.904      0.000      0.000    0.08777   27.08215           -1.04589      195.15410         7.194e-06         1.986e+02         7.570e-01 
  1416.300          85.647    -49.183    -69.353            7.423        11004.900      0.898      0.000      0.000    0.08580   27.03644           -1.05513      195.16756         7.359e-06         2.028e+02         7.675e-01 
  1417.300          85.510    -49.246    -69.380            7.415        11012.224      0.892      0.000      0.000    0.08386   26.99029           -1.06451      195.18104         7.529e-06         2.071e+02         7.782e-01 
